,M,Rate,E,T,I,barE,th,E_th,E_T,E_M
2008-07-31,0.029556650246305383,3.99,-0.024547562192321903,-0.013143759639368535,-0.019656019656019708,0.026717151801315734,0.0,-0.0,0.0003226472571883296,-0.0007255437101178879
2008-08-01,-0.023923444976076458,3.97,0.0016131387548554699,-0.005578395005305659,-0.005012531328320802,0.02667125310243535,0.0,0.0,-8.998725172950742e-06,-3.8591836240561325e-05
2008-08-04,-0.03431372549019607,3.98,-0.02818489282814185,-0.00896608636190177,0.0025188916876572875,0.026625354403554964,0.0,-0.0,0.00025270818319806564,0.0009671286754754553
2008-08-05,0.0,4.04,-0.02469343179812522,0.028718741112345736,0.015075376884422065,0.026579455704674567,0.0,-0.0,-0.0007091642749857243,-0.0
2008-08-06,0.02030456852791862,4.06,-0.005947297930262496,0.003354349438903892,0.004950495049504955,0.026533557005794184,0.0,-0.0,-1.9949315475370282e-05,-0.00012075731838096343
2008-08-07,-0.02487562189054715,3.92,0.007350432567107434,-0.017933738369047658,-0.03448275862068961,0.0264876583069138,0.0,0.0,-0.00013182073455783206,-0.00018284658127132837
2008-08-08,0.025510204081632626,3.94,-0.038435421312046136,0.02389283474318682,0.005102040816326481,0.026441759608033417,0.0,-0.0,-0.0009183311696934791,-0.000980495441633829
2008-08-11,-0.00995024875621886,3.99,-0.00582373291666638,0.006942730477737413,0.012690355329949332,0.02639586090915303,0.0,-0.0,-4.0432608014742275e-05,5.794759121061048e-05
2008-08-12,-0.02010050251256279,3.91,-0.01349069555133231,-0.012050670422580567,-0.020050125313283207,0.026349962210272634,0.0,-0.0,0.0001625719258604795,0.00027116975982577476
2008-08-13,0.01538461538461533,3.94,0.02087269152474147,-0.0029156630132689543,0.007672634271099765,0.02630406351139225,0.0,0.0,-6.085773466606108e-05,0.00032111833114986763
2008-08-14,0.05555555555555558,3.89,0.001850701350255557,0.005521801403690407,-0.012690355329949221,0.02622572681591551,0.0,0.0,1.0219205313652867e-05,0.00010281674168086432
2008-08-15,-0.004784688995215225,3.84,-0.009940158782410946,0.004075933919094776,-0.01285347043701801,0.026147390120438773,0.0,-0.0,-4.051543034241661e-05,4.7560568336893625e-05
2008-08-18,-0.08173076923076927,3.82,-0.005419818692239842,-0.015097809523290096,-0.00520833333333337,0.026069053424962033,0.0,-0.0,8.182739026620435e-05,0.0004429659508080642
2008-08-19,0.015706806282722585,3.83,0.011702675808672236,-0.009314902555218274,0.002617801047120505,0.02599071672948527,0.0,0.0,-0.00010900928479309209,0.0001838116619163187
2008-08-20,0.020618556701030855,3.79,0.009801329892729083,0.006197331643397197,-0.010443864229765065,0.02591238003400853,0.0,0.0,6.07420918915848e-05,0.00020208927613874324
2008-08-21,0.015151515151515138,3.84,0.05071706034279977,0.0024949640993341404,0.01319261213720302,0.0264876583069138,1.0,0.05071706034279977,0.00012653724477904867,0.0007684403082242382
2008-08-22,0.004975124378109541,3.87,-0.05193080312073717,0.011332671321386378,0.0078125,0.026441759608033417,0.0,-0.0,-0.0005885147232229404,-0.0002583622045807865
2008-08-25,-0.004950495049505066,3.79,0.0009655952608815799,-0.019625434383095275,-0.02067183462532296,0.02639586090915303,0.0,0.0,-1.895022643305921e-05,-4.780174558819814e-06
2008-08-26,-0.06467661691542281,3.79,0.0052617598925206455,0.0036863724474374138,0.0,0.026349962210272634,0.0,0.0,1.9396806692819354e-05,-0.0003403128288694941
2008-08-27,0.05319148936170226,3.77,0.013870749414484074,0.007982653959549557,-0.00527704485488123,0.02630406351139225,0.0,0.0,0.000110725392735451,0.0007378058199193674
2008-08-28,0.005050505050504972,3.79,-0.017638986665168166,0.014840144050698667,0.0053050397877985045,0.02622572681591551,0.0,-0.0,-0.00026176510301944845,-8.908579123822168e-05
2008-08-29,-0.025125628140703515,3.83,-0.0010510214514494187,-0.013723665251360151,0.01055408970976246,0.026147390120438773,0.0,-0.0,1.4423866571690498e-05,2.640757415702057e-05
2008-09-02,0.010309278350515427,3.74,-0.05006581815939004,-0.004092514347066145,-0.023498694516971286,0.026069053424962033,0.0,-0.0,0.0002048950791149085,-0.0005161424552514419
2008-09-03,0.025510204081632626,3.71,-0.0025844451611721775,-0.0020350785667978544,-0.008021390374331583,0.02599071672948527,0.0,-0.0,5.2595489545659244e-06,-6.592972349929017e-05
2008-09-04,-0.00995024875621886,3.64,-0.016287197358871075,-0.02992205759970956,-0.018867924528301883,0.02591238003400853,0.0,-0.0,0.00048734645750997776,0.00016206166526239803
2008-09-05,-0.01005025125628145,3.66,-0.020790278931517303,0.004430764724152825,0.005494505494505475,0.02583404333853179,0.0,-0.0,-9.211683449506455e-05,0.00020894752694992355
2008-09-08,-0.025380710659898553,3.66,-0.006244537605462175,0.02051016192977806,0.0,0.025755706643055053,0.0,-0.0,-0.00012807647746461773,0.0001584908021690912
2008-09-09,0.02083333333333326,3.62,-0.02996912248983785,-0.03413816796421554,-0.010928961748633892,0.025677369947578313,0.0,-0.0,0.001023090937298234,-0.0006243567185382863
2008-09-10,0.08163265306122458,3.65,-0.013653529671000753,0.006149422411268146,0.008287292817679592,0.02559903325210155,0.0,-0.0,-8.396132135176663e-05,-0.0011145738506939402
2008-09-11,-0.05660377358490576,3.64,-0.013438434016877276,0.013806377411702098,-0.002739726027397249,0.02552069655662481,0.0,-0.0,-0.0001855360918592635,0.000760666076427017
2008-09-12,0.050000000000000044,3.74,-0.0006144772528553499,0.002121534158087801,0.027472527472527597,0.025290129984013268,0.0,-0.0,-1.3036344813005797e-06,-3.0723862642767525e-05
2008-09-15,0.2571428571428571,3.47,-0.034228365490993506,-0.04713589702129706,-0.07219251336898391,0.025059563411401725,0.0,-0.0,0.0016133847109907878,-0.008801579697684043
2008-09-16,-0.25,3.48,-0.05326821685971561,0.017523287725070613,0.0028818443804032867,0.02482899683879018,0.0,-0.0,-0.0009334342906342541,0.013317054214928903
2008-09-17,0.41414141414141414,3.41,0.06299030531601701,-0.04714070706031326,-0.02011494252873558,0.02599071672948527,1.0,0.06299030531601701,-0.002969407530542051,0.026086894120774723
2008-09-18,-0.22857142857142843,3.54,0.0036904904790235893,0.043341774386062015,0.038123167155425186,0.02591238003400853,0.0,0.0,0.00015995240571575035,-0.000843540680919677
2008-09-19,-0.3148148148148149,3.78,0.046433428464990545,0.0402565630586833,0.06779661016949157,0.026487658306913815,1.0,0.046433428464990545,0.001869250241031752,-0.014617931183422953
2008-09-22,0.020270270270270396,3.83,0.06455175450031647,-0.038236599989398545,0.013227513227513255,0.026927792202621478,1.0,0.06455175450031647,-0.0024682396154424584,0.0013084815101415581
2008-09-23,-0.03311258278145701,3.85,-0.027913985844178035,-0.01563263356626765,0.005221932114882533,0.02687287830181301,0.0,-0.0,0.0004363691120760176,0.0009243041670257643
2008-09-24,-0.18493150684931503,3.8,-0.006111805118562796,-0.001977727730452905,-0.012987012987013102,0.02681796440100458,0.0,-0.0,1.2087486466105648e-05,0.0011302653301451745
2008-09-25,0.03361344537815136,3.88,0.02098586227352528,0.019656504245599393,0.021052631578947434,0.026763050500196117,0.0,0.0,0.0004125086908771138,0.0007054071352445494
2008-09-26,-0.12195121951219501,3.85,-0.010133820019662787,0.0033824291161275166,-0.0077319587628865705,0.026717151801315748,0.0,-0.0,-3.427692789210333e-05,0.001235831709714973
2008-09-29,0.4444444444444444,3.61,-0.0923314417042862,-0.08806776221769597,-0.06233766233766236,0.02667125310243535,0.0,-0.0,0.008131423453230134,-0.04103619631301609
2008-09-30,0.3012820512820511,3.85,0.04458389723714129,0.0541746705821724,0.06648199445983383,0.027147447805855266,1.0,0.04458389723714129,0.0024153179460915555,0.013432328013754099
2008-10-01,-0.43349753694581283,3.77,-0.028929371405336468,-0.004543988840816637,-0.020779220779220786,0.027092533905046835,0.0,-0.0,0.00013145474083768884,0.012540811249603987
2008-10-02,-0.417391304347826,3.66,-0.050036758426947436,-0.04029079197981711,-0.02917771883289122,0.027037620004238372,0.0,-0.0,0.0020160206251245,0.020884907865160666
2008-10-03,0.6417910447761195,3.63,-0.0034231180096175873,-0.013506522985628489,-0.00819672131147553,0.02698270610342994,0.0,-0.0,4.6234422079418784e-05,-0.002196926483784422
2008-10-06,0.7818181818181817,3.48,-0.07279778055206887,-0.03851784119121027,-0.04132231404958675,0.026927792202621478,0.0,-0.0,0.002804013350377164,-0.05691462843161747
2008-10-07,0.5153061224489797,3.5,0.01171132114435447,-0.05739484084336377,0.005747126436781658,0.02687287830181301,0.0,0.0,-0.0006721694131457456,0.006034915487652049
2008-10-08,-0.24579124579124578,3.72,-0.0035436220030791166,-0.01133270253725105,0.06285714285714294,0.02681796440100458,0.0,-0.0,4.015881406535335e-05,0.0008709912667500859
2008-10-09,-0.3750000000000001,3.84,-0.020151694356834615,-0.07616709580816616,0.032258064516129004,0.026763050500196117,0.0,-0.0,0.0015348960347739036,0.007556885383812983
2008-10-10,-0.4357142857142856,3.89,-0.10367779995813342,-0.011759289177065702,0.013020833333333481,0.026717151801315748,0.0,-0.0,0.0012191772309496612,0.045173898553186695
2008-10-14,0.39240506329113933,4.08,-0.03782597908348184,-0.005322136791994336,0.04884318766066831,0.02667125310243535,0.0,-0.0,0.0002013150349734069,-0.014843105716303005
2008-10-15,-0.054545454545454564,4.04,-0.05004690444963744,-0.0903497780862258,-0.009803921568627416,0.02662535440355495,0.0,-0.0,0.0045217267109272895,0.002729831151798407
2008-10-17,-0.27710843373493976,3.98,-0.016949216467680994,0.03603053398163025,-0.014851485148514865,0.02657945570467458,0.0,-0.0,-0.0006106893199007872,0.0046967708283935285
2008-10-20,0.16666666666666674,3.91,0.03491379825359209,0.04768490479313692,-0.017587939698492372,0.027037620004238372,1.0,0.03491379825359209,0.0016648611456893288,0.005818966375598684
2008-10-21,-0.042857142857142705,3.76,-0.03206993749467757,-0.030799711659374562,-0.038363171355498826,0.02698270610342994,0.0,-0.0,0.0009877448277702341,0.0013744258926290337
2008-10-22,0.20895522388059695,3.65,-0.07458411483923777,-0.06101246975642627,-0.029255319148936088,0.026927792202621478,0.0,-0.0,0.004550561050938818,-0.01558474041416908
2008-10-23,0.14814814814814814,3.63,0.021698722856789754,0.012634041442215027,-0.005479452054794498,0.02687287830181301,0.0,0.0,0.0002741425638158202,0.0032146256084132968
2008-10-24,0.021505376344086002,3.76,-0.05870750969935412,-0.034511200543819176,0.03581267217630857,0.02681796440100458,0.0,-0.0,0.0020260666406626193,-0.0012625270903086896
